rms,mav,zcr,wl,activation_score
0.6940166424499944,0.5579716459461203,89,146.9557845755722,71
0.3558010438187182,0.28485652650631577,99,81.48585555511505,36
0.6788237443940418,0.543827879216954,102,154.8896593522212,68
0.5115016498970409,0.40902122057714196,99,112.54931873544587,48
0.5559744020468421,0.43946371931095135,101,123.83160357444365,58
0.9357068209232506,0.7398416835509158,100,210.49991735545103,91
0.2797415498400078,0.2302029851197068,103,67.14775052267201,28
0.8891141337967297,0.7228678815332438,111,201.74888415641664,91
0.5115829204977129,0.4010177999452729,102,117.66158002997717,52
0.5428789849383698,0.42290237529943864,104,122.40549039521727,54
0.32475481156789593,0.25337037682178315,110,77.44368339423823,34
0.46937888398345723,0.36774824509144627,111,112.36765629451543,47
0.21822002250419717,0.17354711810165213,103,49.457351839800495,22
0.24945424591610393,0.2075635251216036,91,54.954624536850446,27
0.799264327379699,0.6488763042532244,114,188.14092171628553,83
0.6948640566635524,0.554078318361861,114,172.3311204036371,72
0.6758964114221357,0.5643102385412094,98,156.10013953021277,63
0.46345096499686317,0.37792429409924716,102,104.69582360195159,46
0.2506802181789192,0.19959845293693726,104,58.28085979003723,28
0.34171362282616946,0.2765434693895468,93,76.97039470054322,35
0.3991844800603255,0.3217928053757829,89,86.73313064098612,40
0.41587901095578084,0.3363371205963255,82,86.4732315364521,40
0.6791248736271741,0.5358208092627393,97,148.9728473412963,70
0.5096384866962247,0.3957821773824143,118,122.44756554734161,49
0.9075051651677625,0.7174264669118751,93,197.92034471259154,89
0.6013603055959645,0.46034745886346273,95,135.79731898580397,63
0.7086608822006244,0.5852132289190457,89,149.36376095241553,67
0.624538519844381,0.4949980159445769,106,146.17752038741634,60
0.5361771703114558,0.4069799755061388,121,127.80093874752725,52
0.3671016761552933,0.2912846574995908,97,80.6816296523111,38
1.0202220347767221,0.8291844898983157,96,231.653162942209,95
0.3630017354040806,0.2876516352215188,103,84.0563727207552,37
0.818153140711731,0.6643601278053017,114,194.64756108423626,80
0.6201148227040324,0.4888631275114567,85,130.36911555829573,64
0.28566907814799053,0.2251444165188381,98,63.837793804523066,29
1.0097412869349642,0.8231742291585177,108,247.85383010980033,97
0.5364393085706944,0.4284754886813626,97,119.28516886138476,53
0.4556558874972387,0.3654600740305362,112,105.13660176406749,47
0.9972313175355261,0.8023138723963822,92,221.5343519000671,97
1.0505477331786777,0.8365863706589672,114,237.66368697221824,97
0.565251226515148,0.43403457257069805,105,130.7033652618232,58
0.8180700332220912,0.6384903632799948,102,182.77483852717504,78
0.8643580979122768,0.6943791844248836,109,203.9479534569029,85
0.8753387833580377,0.7059612067822811,93,190.02189228876216,85
0.24180036235785266,0.1942692372692591,106,56.26240202985692,25
0.4642365015050916,0.3786479023208487,98,100.68715955297478,47
0.3806144791454884,0.307362821568117,87,82.7804555550525,37
0.21544433449583886,0.17055466858561502,105,50.60297030870605,22
0.7966488877895229,0.6365624187477593,90,173.85909014264274,79
0.41560185257358273,0.3402075861000731,89,86.30495808427222,44
0.9199377555978437,0.7372757385104901,115,219.03643309015163,85
0.33836022093048806,0.27293769893510017,87,73.98186963499236,34
0.22494122153778923,0.18255747415545961,95,51.10492456428133,22
