age,weight,resistance,force,speed,duration,emg_rms,activation_score
56,45,12,11.264302475929465,26,20,0.2741330773033225,25.149687302856734
69,54,29,25.716879646001477,13,22,0.6624223976877206,58.41733180321129
46,80,40,44.369948755034414,16,29,0.7908227000028891,70.23709268091174
32,53,14,14.392196230418351,21,20,0.37445907226993574,30.303033503798794
60,89,33,33.9149722482263,22,5,0.7126537354444019,61.520639273451486
25,90,49,44.828643284660174,14,12,0.8396627358057507,81.0623009284811
38,86,42,33.411639258183015,15,25,0.7462570426936049,72.20986674949887
56,76,17,18.180712049395506,11,6,0.41844657792132794,39.51997722742189
36,76,33,37.524810207471,16,28,0.7065541381281003,64.7561090626612
40,50,59,57.87096625461979,23,9,1.0391479468650646,96.96930272923107
28,92,29,36.182147597794334,23,19,0.750966672270935,66.56061384942736
28,82,25,21.480418372922276,19,18,0.6472529176895091,49.59125769220257
41,61,59,53.7264777251704,13,7,0.9575327124884487,92.33432925607774
53,54,21,20.663848464019345,12,11,0.5405353775583835,47.300264376182035
57,94,22,21.587037123243547,23,8,0.5708683575700965,48.30870979352238
41,71,54,57.849843656676114,15,15,1.0563984784029359,97.44900763347218
20,98,51,47.125185879680075,24,16,0.9127202547438157,84.81318685989011
39,94,48,54.84047118407449,17,19,0.9419975778124453,84.63599746039358
19,79,34,43.834584812541266,14,10,0.7217591913238215,68.52930559426662
41,96,55,54.80427986515829,12,28,1.00300819776785,95.76160515366841
61,65,41,47.24855210092159,12,5,0.7857445090712493,73.21161829935153
47,69,33,27.7175146468737,22,22,0.6628481321526409,56.43530086030292
55,72,57,62.37610770590958,11,18,1.0067404529642945,97.88518689276727
19,91,56,61.23638204279732,10,28,1.0561751825025798,99.91399369568985
38,59,53,57.317186400949396,21,11,0.9541568475497588,85.76609762336996
50,48,18,17.92218455564853,17,14,0.4799517408678129,40.22615464218532
29,73,49,34.228755293789845,28,13,0.8271727984218046,77.1610717314681
39,53,59,55.791364281739355,18,6,1.0834858388024238,100.0
61,71,32,28.870419911576988,23,12,0.7184311359761241,63.935517781514385
42,70,59,54.10872530969761,27,26,1.1400159733537236,100.0
66,63,22,22.61121502273533,19,5,0.40665584566265217,38.40992625291787
44,72,41,38.90518277239383,18,24,0.7628162091682801,73.43868624489724
59,61,59,54.87693995117489,15,6,1.0492303959002738,100.0
45,87,24,18.7059992587609,10,11,0.5565463872128786,47.96135715246317
33,85,45,41.422435072573855,14,29,0.7745944501551428,69.49337086053987
32,86,58,63.60749605924964,19,20,1.0489328599562375,95.88280949558421
64,94,14,10.69487472686253,22,26,0.3999922337671682,37.660348945303625
68,64,31,28.425306467833636,13,8,0.6563709444155015,60.05476329472217
61,89,25,22.71651192488377,10,25,0.5824634799454235,58.476403878213034
69,84,50,51.6949675690471,11,21,0.9806586241896412,90.89209490440898
20,83,19,21.281247442642663,13,8,0.5133359588690064,43.39043569804175
54,93,33,17.77671730378419,26,7,0.6285663523504956,54.76313857810742
68,97,27,32.10817606913804,19,13,0.6333278690120087,54.68970728080078
24,67,58,65.18184017121877,21,26,1.139147355342312,100.0
38,91,27,21.749067313191652,11,19,0.466779203237747,39.79579145451973
26,76,16,11.138508776325827,12,24,0.49290921823019085,43.33674733995785
56,96,13,10.748733061108643,23,7,0.273519562761527,24.346267173714246
35,91,35,31.219979902716975,24,16,0.6521418086683604,65.20628859546804
21,77,14,15.119634369733031,22,19,0.40426013201615796,30.839671841219573
42,90,25,15.267373568205679,18,24,0.5599675123955206,47.63943453104942
31,49,44,38.4103619598163,11,12,0.6822884652591007,63.269389337375
67,87,35,42.69598600087454,28,16,0.7620737138072811,69.2430793927032
26,92,27,22.35890016325991,25,25,0.6214142527870863,55.258102587355694
43,78,38,44.21714139051463,20,17,0.8508116127539971,72.83412527469619
19,84,32,33.776690977950686,21,19,0.6540169719648805,55.01476349627161
37,55,23,13.953661427058709,10,15,0.48472654278754196,46.53566769879105
45,94,24,27.17664597608103,11,21,0.5450758234357738,49.75565432848712
64,47,58,57.41166348903573,25,25,1.0474245847688743,98.46913292054337
24,77,42,39.7226647187513,11,28,0.7670219960573348,69.11345424957004
61,55,34,35.22478546586002,28,16,0.6716613192057543,52.69973094472973
25,60,30,32.37316742783396,19,24,0.6835846832405882,57.26187960920655
64,62,26,29.5379591098731,28,22,0.6142705642130026,53.40494532707389
52,74,32,37.89126423774001,19,20,0.7340356465682237,70.85602566136257
31,92,52,54.040679563891786,25,7,1.0009041173045008,89.38393741577723
34,99,26,19.121829556068192,22,13,0.5908260778377208,57.49365387264826
53,54,23,20.631772711744045,25,11,0.5770695634664701,50.55502437979267
67,62,38,52.715241676343105,27,23,0.7564903773884103,62.340133285946344
57,82,29,32.62245530190864,17,9,0.6103967939888251,54.7738450325391
21,63,39,50.846436504057486,27,23,0.8326633846457856,75.50499360689842
19,80,28,34.977170410995924,22,14,0.6537519757806126,49.023709366790946
23,57,48,49.209010357778745,16,24,0.8925405230979919,84.5365953215795
59,90,22,23.50703534890559,27,16,0.5831363602939433,51.3690723629848
21,47,27,26.81709980061577,15,12,0.7030829174176088,62.543237765802125
46,54,32,23.3109769207675,18,7,0.6458629823829243,57.483874958589674
35,82,55,55.09023626234112,15,23,1.029668232921616,95.35467888472506
43,45,42,48.053372762710985,27,15,0.9027396765687714,78.72520714242623
61,99,48,45.001800025893985,26,12,0.811717012369298,70.6094215782425
51,71,49,51.059764995309045,21,17,0.9467222719984657,84.17521026416235
27,90,27,31.257955229465985,12,27,0.6752415674207057,58.469543256699986
53,52,18,13.451597803437622,14,27,0.41510028915713254,36.14850617124783
31,95,42,39.74348567828168,16,14,0.7573893993963101,68.32070767873361
48,90,41,35.9104425476142,19,22,0.7802619322330822,68.31356685115279
65,86,26,21.889171966552965,19,16,0.5664115881726688,51.59223963119104
32,61,28,21.561973581734694,28,11,0.5423772538129006,47.302022220875614
25,53,36,31.497757693109868,13,15,0.822296852268097,72.36605957107906
31,50,15,22.097278403989193,19,14,0.43655157296954866,37.14296125202666
40,87,44,39.42261485454854,27,7,0.7794301067014143,68.79493485505533
57,69,46,46.63229609530345,12,11,0.8884804145229868,82.6676282503033
38,83,43,40.48565623164522,12,8,0.8778213130434507,83.65083720764466
33,93,29,34.894329685184694,14,12,0.665342360875835,57.316165590568005
62,72,34,40.55581148301808,25,12,0.7670587534172906,63.047465449882026
35,77,13,17.320349910694734,29,10,0.37302621983681583,27.506693837881237
64,98,19,20.530672765513778,22,17,0.5670377861477446,42.572627843263184
41,81,19,17.84470231579551,20,16,0.5073090629748997,41.45237950993906
43,53,33,27.040626479043752,22,7,0.7175882108390993,62.06514442918757
42,62,30,39.71764440561098,28,10,0.7168462536518134,53.35664792042839
62,65,20,16.20163491123723,15,26,0.5222523764426253,46.37209560664356
58,46,36,39.318231735164204,22,23,0.7129385306919597,62.88701315531281
46,87,25,30.297827863116986,13,15,0.5769186184811069,54.599178836804356
32,82,35,32.22359751547335,14,8,0.7784420173551683,70.62195732779571
62,84,39,44.19006263657981,28,19,0.8889374105470973,79.42181855471443
18,80,58,61.821066016694274,14,6,1.0317520500975177,100.0
42,94,25,33.63981917690883,23,19,0.6306858992777348,52.95972069390654
24,87,16,13.653267667866444,13,21,0.40671914831507083,34.735062298613954
26,81,25,18.570679913601424,21,6,0.5080018260997641,39.219516417810425
41,59,44,41.47255122277745,15,11,0.8616047408816597,82.8469925062355
18,72,25,26.044267712671658,28,20,0.6372694851816287,52.444466615365634
61,62,49,49.29106363542528,19,9,0.959038441841336,84.60588369626295
25,78,21,19.032810518627247,10,20,0.4891884300971845,45.65424186723704
41,66,44,34.45401270511378,25,29,0.838013122522327,68.7017062258934
28,55,58,60.352414980645534,13,23,1.0637632662241827,98.61323862931509
68,57,30,39.861722395411,18,6,0.7199143270135852,65.71807928472234
34,48,59,61.32125619061502,27,19,1.1664295659758617,100.0
25,66,52,55.04567759526757,26,8,0.8913704050112965,79.55586654805796
52,51,45,47.86222653077551,24,6,0.9291737475808793,81.78543541513149
52,87,57,58.985233349412,28,27,0.9879734206685366,84.5080858600772
50,98,26,30.658329834340474,16,14,0.6747080346989255,60.72307807126313
22,68,41,42.97686840592833,27,26,0.7930330615359987,69.97398679694916
59,48,50,48.43661415173362,15,28,0.8812995018783438,81.68698632028321
56,72,15,11.02005544995623,28,9,0.4398637386042185,33.28309323911035
58,59,33,31.755131723596623,21,22,0.7069841617751037,62.300972337402044
45,45,36,37.57064748225333,12,8,0.6978938922631839,66.1918234930709
24,99,29,27.41958519438513,10,5,0.5644479381135059,51.699644425482724
26,47,34,35.57169341565715,14,22,0.7084843927037217,59.9938417717583
25,58,11,13.195750668502088,10,24,0.31577440583395056,28.288500831348248
29,82,18,22.16589715635091,17,10,0.4377558371355732,38.516176043858536
51,94,37,43.413974844194904,16,24,0.7928509137420462,71.94465409401307
50,45,47,47.39003709239429,24,24,0.8586566037492166,81.21825222082127
65,82,12,5.461117174261696,20,18,0.36863255037263565,29.18174005904973
40,82,29,27.274479515904048,27,14,0.7008795773736941,62.704494456863294
41,65,15,15.220312837032997,23,22,0.4186737934401359,37.61553653964606
54,92,48,38.82115621911455,18,13,0.8806133341948519,82.99600539216159
52,73,42,48.94332260051241,14,16,0.9656214496443365,84.8059151059131
61,49,10,10.711889562552331,13,14,0.29417939194389436,23.541994200004225
57,93,46,47.906764172901426,21,28,0.9590955806235443,90.04421455205865
39,54,15,21.82763231263133,10,28,0.5126810414587807,39.02159971849393
44,72,54,50.849285849288265,22,25,1.0369622962051304,93.5811226918746
52,65,43,45.87020965442015,10,23,0.9239384408087323,83.78618075535836
18,94,56,55.45067938449032,12,10,1.0512821452203824,95.90693981656938
52,51,24,23.079565664920402,17,18,0.5262513535446387,48.51874513332745
54,47,54,50.1390380609781,27,29,1.045423854865919,95.56435360239584
64,89,35,43.32801606843264,25,12,0.823282190927808,69.22940020442316
31,91,23,21.122499799622144,29,27,0.5908781940727752,50.18679428652953
20,64,16,19.49732123447851,29,18,0.4597117102883544,35.3016881190637
18,63,55,45.62496306264032,25,15,0.9423150896325353,84.2146234509358
